fileName goodnessValue sensitivityValue threshold kinRec STE-Unique-sens STE-Unique-BI STE-Unique-WI STE11-sens STE11-BI STE11-WI STE20-sens STE20-BI STE20-WI STE7-sens STE7-BI STE7-WI 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col10.tblout 119175 0.7 139.14 34 0.0 47 171 0.8333333333333334 29 36 0.92 0 163 0.0 46 99 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col11.tblout 118939 0.7 139.04999999999998 34 0.0 47 171 0.8333333333333334 29 37 0.92 0 163 0.0 44 98 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col12.tblout 118939 0.7 139.04999999999998 34 0.0 47 171 0.8333333333333334 29 37 0.92 0 163 0.0 44 98 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col13.tblout 118760 0.7 138.96 34 0.0 47 171 0.8333333333333334 29 37 0.92 0 163 0.0 44 98 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col14.tblout 120190 0.7 136.07999999999998 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 160 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col15.tblout 120190 0.7 136.07999999999998 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 160 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col16.tblout 120190 0.7 136.07999999999998 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 160 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col17.tblout 119991 0.7 136.07999999999998 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 160 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col18.tblout 123311 0.7 135.9 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 161 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col19.tblout 123311 0.7 135.9 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 161 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col20.tblout 124364 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col21.tblout 124364 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col22.tblout 124555 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col23.tblout 124555 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col24.tblout 124555 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col25.tblout 124555 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col26.tblout 124555 0.7 136.07999999999998 34 0.0 42 168 0.8333333333333334 29 36 0.92 0 163 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col27.tblout 122672 0.7 135.54 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 159 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col28.tblout 122993 0.7 135.54 34 0.0 42 167 0.8333333333333334 29 36 0.92 0 160 0.0 43 106 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col29.tblout 120616 0.725 132.57 37 0.0 42 164 1.0 29 36 0.92 0 161 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col30.tblout 120616 0.725 132.57 37 0.0 42 164 1.0 29 36 0.92 0 161 0.0 43 105 
../results/R06_hmmerTestCompareDataset/2019-05-28_001/msa_row10_col31.tblout 120672 0.725 132.57 37 0.0 42 164 1.0 29 36 0.92 0 161 0.0 44 105 
